asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B09478CKG2,172282,N NOROCME,13.21,27.97,0.1003817472419933,3.1271188946813058
B0F6VCDJM9,172282,acer,119.99,189.99,0.14814102400628515,5.077852515976039
B002QPZXH2,172282,Belkin,13.7,34.09,0.2579442304003548,3.0724865918448767
B074CFGG8G,172282,JVC,5.99,22.74,0.31567744247484825,2.359919283118201
B07HB8V9LQ,172282,Skullcandy,11.0,31.99,0.16139756843719436,3.0529232097910777
B07WCNYGM1,172282,PERLESMITH,28.99,54.99,0.11828473025993616,3.8546733968410583
B0CT6D6Q27,172282,JBL,99.95,219.95,0.19459877659105979,5.123924862991964
B00001R3W3,172282,KODAK,6.99,29.95,0.10253715554599885,2.964282342149124
B01MT1T425,172282,THE CIMPLE CO,12.97,27.04,0.250998387508384,2.926382195419198
B08W5BN4FK,172282,Pyle,23.97,72.0,0.15101644843341971,3.7667913754501505
B0BVSXY216,172282,Apple,108.68,171.67,0.09365907146595553,4.896827416185015
B0CF2QYW8H,172282,Victrola,48.68,89.79,0.13276594661330338,4.1374808819721585
B00NMJTEC6,172282,Skar Audio,20.79,42.38,0.12209281678623597,3.357789089295599
B073QNVQK5,172282,PROGRACE,16.84,23.17,0.12981433003320733,3.0848545163361085
B07Y9FPW21,172282,PIONEER,76.32,136.62,0.10974252049435806,4.600245285758289
B0B3MNRDGL,172282,CRUA,89.79,99.99,0.05175875615631036,4.552718325985667
B0BVVMVHSY,172282,Rythflo,39.99,49.99,0.0857610286575601,3.878650756617807
B00HH4AU1Q,172282,Fujifilm,22.79,44.99,0.0817077052237836,3.2416940936951444
B00QOOZ4DE,172282,Mounting Dream,18.77,44.85,0.17177979833584892,3.5945034689614155
B017JS6PD6,172282,DS18,25.71,52.95,0.09256635472683564,3.6631040995048343
B078XR8C15,172282,Esky,22.99,27.99,0.051836182107905374,3.2744997286161976
B09HC5GRKY,172282,WiiM,89.0,89.0,0.0,4.499809670330265
B09V9P5Q6W,172282,JBL,74.95,169.95,0.1582722766962457,4.629924395399517
B0C546P8BQ,172282,COMPLY,16.95,19.99,0.04112123544077677,2.975979070323778
B00004WLJ6,172282,Gardner Bender,4.59,15.98,0.17626655827346938,2.3233149340794177
B00NBC3IVW,172282,ORION,44.95,61.6,0.06488991231768466,3.961778417881244
B0797MY6JB,172282,Sony,85.0,158.0,0.09301875940082538,4.648964304822448
B0863FR3S9,172282,Sony,129.99,349.99,0.20993295208432816,5.613788783896798
B0FNQ4B2Z2,172282,LG,465.98,799.99,0.15946517349531594,6.33847387609752
B0D526GSYY,172282,NETGEAR,414.99,699.99,0.14051763826981634,6.387603303048454
B0D9R7Q449,172282,LG,176.99,249.99,0.070068037537611,5.4868058018888695
B0DJMFS75S,172282,Apple,92.0,112.86,0.029138598272436773,4.652744581648497
B0F7S243MJ,172282,UltraPro,9.99,11.55,0.04119041997780183,2.460016100942874
B0CHN2D8KM,172282,Samsung,18.79,40.58,0.1571301084623429,3.2141044599893096
B0CL3P2YHF,172282,Beats,166.75,296.99,0.15820450270880007,5.444446833088254
B0CQXHLJ81,172282,AILIHEN,26.98,29.99,0.052551487153713924,3.3767095100156883
B0F5QPF2YC,172282,Victrola,54.99,74.13,0.08985666513187435,4.238478205674724
B005VULXA0,172282,StarTech.com,4.49,18.86,0.19820308651808247,2.487952550420154
